Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Circulante (millones S/)
Ene09,16360
Feb09,16421
Mar09,15956
Abr09,16046
May09,16056
Jun09,16155
Jul09,17215
Ago09,16949
Sep09,16698
Oct09,17047
Nov09,17440
Dic09,19241
